TimeValue,EPC,RSSI,PhaseAngle
0.704,1,1.0,0.1718
0.803,1,0.9795918367346939,1.0492
1.117,1,0.9659863945578231,-0.742485307179586
1.212,1,0.9319727891156463,-0.4724853071795865
1.314,1,0.9183673469387755,-0.34978530717958645
1.408,1,0.9115646258503401,-0.3374853071795858
0.0,2,0.9808917197452229,0.5277
0.046,2,0.9617834394904459,1.1658
0.127,2,0.9554140127388535,-0.6626853071795864
0.487,2,1.0,-0.8160853071795859
0.521,2,0.9426751592356688,-0.208585307179586
0.609,2,0.9044585987261147,0.7609
0.701,2,0.9299363057324841,1.626
0.839,2,0.9872611464968153,0.1657
0.96,2,0.9808917197452229,-1.5768853071795865
1.039,2,0.9617834394904459,-4.374885307179586
1.12,2,0.9235668789808917,-6.958170614359172
1.213,2,0.9299363057324841,-7.283370614359172
1.311,2,0.9235668789808917,-7.099270614359172
1.41,2,0.9235668789808917,-6.945870614359173
