TimeValue,EPC,RSSI,PhaseAngle
0.0,2,0.9871794871794872,0.405
0.033,2,0.9487179487179487,0.8744
0.134,2,0.9487179487179487,-0.2791853071795867
0.457,2,0.9935897435897436,-0.07358530717958622
0.548,2,0.9615384615384616,-2.0616853071795864
0.669,2,1.0,-0.7178853071795865
0.756,2,0.9807692307692307,-0.3313853071795858
0.842,2,0.9423076923076923,-0.19938530717958614
0.929,2,0.9038461538461539,2.7366
1.024,2,0.8782051282051282,2.4298
1.124,2,0.8974358974358975,2.0003
1.436,2,0.967948717948718,4.786
0.63,1,1.0,0.6995
0.675,1,0.9205298013245033,0.7854
0.772,1,0.9337748344370861,1.264
0.879,1,0.9668874172185431,3.9638
0.973,1,0.9072847682119205,4.9333
1.07,1,0.8940397350993378,4.8351
