EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,58,36,214,93,76,125,133,113,97,64,7,174,84,86,346,209,116,77,123,194
A2,0,52,24,56,146,87,88,71,73,24,40,93,2,19,10,0,13,2,109,51,54
A3,121,143,138,65,50,163,145,134,199,142,155,59,15,63,302,345,270,351,171,206,140
A4,180,114,99,0,0,36,38,18,110,101,108,19,7,63,259,338,182,269,5,144,246
A5,215,254,258,202,208,216,209,242,194,153,108,69,108,125,279,342,317,351,103,326,380
A6,0,0,0,0,0,0,0,0,0,84,74,111,22,15,0,277,278,291,161,56,0
A7,220,256,251,213,217,215,224,249,203,183,148,78,53,110,304,72,61,84,140,330,416
A8,226,263,265,220,225,234,225,254,211,238,208,55,107,151,298,215,162,206,184,345,412
