EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,230,232,167,175,118,255,231,152,372,258,166,146,107,299,326,263,291,138,226,218
A2,0,206,194,170,167,211,230,243,226,253,250,185,64,27,377,308,209,319,174,231,278
A3,163,288,227,74,96,156,81,117,210,378,272,124,46,96,379,326,303,334,141,129,200
A4,194,212,213,199,192,205,269,260,229,263,222,184,186,174,385,326,258,339,177,320,390
A5,193,295,275,160,194,211,267,252,228,381,284,103,136,107,385,326,290,322,177,171,388
A6,149,62,8,22,17,54,114,127,0,294,216,138,128,141,382,237,172,257,169,239,6
A7,0,0,0,0,0,0,0,0,0,352,253,32,118,169,385,307,182,223,214,326,389
A8,198,309,282,207,198,220,285,277,236,287,254,196,193,178,385,222,236,233,83,279,389
