EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,101,97,186,109,65,157,148,120,173,128,0,191,76,280,267,204,124,123,129,184
A2,0,119,229,64,131,179,144,108,227,229,219,188,81,20,308,3,107,228,162,193,195
A3,132,193,261,65,88,126,218,229,251,223,236,138,74,172,309,266,267,263,147,191,212
A4,163,137,200,114,105,100,64,82,239,77,114,79,89,101,120,186,177,53,121,120,204
A5,186,222,246,183,158,183,209,232,256,186,107,0,186,203,307,245,231,201,133,298,364
A6,0,0,0,0,0,0,13,1,0,213,171,155,162,100,251,255,252,255,210,70,0
A7,171,215,244,184,160,174,219,228,255,179,206,70,83,174,306,110,116,114,218,327,367
A8,182,222,260,189,160,180,219,250,262,166,173,70,136,131,302,96,94,66,35,267,364
