EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,80,91,173,76,83,143,166,99,69,95,3,195,76,104,0,99,138,104,72,164
A2,0,85,175,91,132,153,120,114,178,150,170,144,110,65,32,0,90,136,130,54,81
A3,219,189,223,98,86,159,207,195,180,176,204,91,92,150,178,270,278,307,189,233,259
A4,233,211,210,100,110,112,76,86,171,137,171,80,18,127,212,277,249,269,111,114,254
A5,233,288,268,162,166,185,235,213,169,138,103,72,159,179,234,279,279,307,157,270,374
A6,0,0,0,0,0,0,26,6,58,96,44,124,46,15,153,241,225,258,112,38,0
A7,237,291,271,172,171,174,212,220,175,110,157,0,17,146,245,89,106,128,63,259,374
A8,242,298,276,180,177,193,252,243,182,272,246,169,204,201,249,250,172,185,222,308,373
