EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,204,146,199,162,103,162,174,126,281,173,129,177,161,249,326,322,375,134,156,90
A2,0,206,256,181,183,179,212,205,214,269,210,189,149,87,168,6,184,253,184,195,190
A3,226,301,298,97,130,135,104,112,203,190,231,141,84,160,281,329,338,382,137,122,241
A4,201,229,249,208,166,121,149,181,213,184,181,180,229,195,350,338,336,385,145,180,253
A5,295,350,305,222,208,207,148,123,214,223,244,101,115,178,266,169,258,323,98,243,350
A6,289,339,306,225,203,195,120,101,215,212,144,183,207,183,243,309,313,396,157,257,352
A7,0,0,0,0,2,2,0,9,0,212,177,191,127,81,0,220,270,307,163,59,0
A8,302,357,311,230,214,218,205,147,223,188,200,170,223,164,287,162,204,228,144,264,357
