EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,216,214,421,142,190,272,255,259,169,168,154,344,4,248,38,291,310,136,105,125.0
A2,0,169,230,218,262,193,306,318,368,173,122,283,101,126,113,0,192,117,188,84,161.0
A3,352,307,276,198,210,311,361,247,376,236,236,174,149,307,428,491,370,363,249,211,106.0
A4,357,294,107,6,146,294,191,266,191,208,146,242,139,309,314,463,301,295,251,360,369.0
A5,341,451,452,414,356,391,210,244,374,245,106,139,341,283,475,323,361,360,130,412,440.0
A6,0,0,0,0,0,0,0,0,0,146,24,272,4,0,0,238,185,277,200,0,0.0
A7,357,458,454,424,358,394,502,431,378,234,187,15,162,300,478,175,148,86,243,417,449.0
A8,367,470,468,431,367,402,501,437,385,429,413,281,328,308,485,487,315,364,331,432,458.0
