EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,504,524,248,80,84,224,188,212,244,188,0,272,144,196,0,176,468,124,68,76
A2,0,408,724,168,348,200,304,204,216,368,340,200,68,4,12,0,60,24,308,112,56
A3,1076,848,1112,180,132,164,236,392,545,276,512,176,104,244,280,836,712,740,264,216,200
A4,1024,804,784,72,36,68,72,140,412,256,404,4,0,220,360,840,608,388,232,244,120
A5,1080,1080,1128,336,428,256,396,332,540,244,112,52,64,192,740,568,548,504,48,440,868
A6,0,0,0,0,0,0,0,0,0,152,48,152,0,0,0,388,320,76,0,0,0
A7,1072,1076,1124,64,308,368,340,284,568,8,392,0,24,180,356,0,164,88,64,120,616
A8,1104,1088,1148,0,256,324,424,320,428,32,212,0,76,44,624,8,196,160,420,640,796
