EPC,gesture1,gesture2,gesture3,gesture4,gesture5,gesture6,gesture7,gesture8,gesture9,gesture10,gesture11,gesture12,gesture13,gesture14,gesture15,gesture16,gesture17,gesture18,gesture19,gesture20,gesture21
A1,0,79,101,164,49,97,132,164,107,141,100,2,184,64,299,12,147,276,96,82,43
A2,0,106,163,148,165,84,149,109,240,213,193,166,93,68,134,8,73,141,132,54,110
A3,204,192,211,87,79,191,247,221,225,151,174,79,88,162,310,327,247,289,196,140,226
A4,206,158,180,122,96,203,233,167,223,152,185,118,107,170,287,328,304,257,227,276,294
A5,207,241,241,158,165,197,146,164,242,147,66,24,161,126,302,312,294,286,111,242,331
A6,0,19,8,128,59,0,0,2,0,149,141,154,48,11,0,323,276,276,184,68,0
A7,207,244,240,164,168,186,237,242,245,160,166,26,94,158,312,81,89,112,111,238,332
A8,209,246,246,168,174,208,178,226,249,324,290,177,169,172,311,229,166,236,135,270,333
