// Timestamp, EPC, Antenna, RSSI, PhaseAngle
2024-07-30T10:55:26.2933370+03:00,A10000000000000000000000,1,"-73,5","48,443,113,281,428,500"
2024-07-30T10:55:26.4187780+03:00,A10000000000000000000000,1,"-73,5","11,811,652,066,719,400"
2024-07-30T10:55:26.5279420+03:00,A10000000000000000000000,1,-70,"15,033,011,721,279,200"
2024-07-30T10:55:26.6246560+03:00,A10000000000000000000000,1,-62,"1,000,155,473,701,430"
2024-07-30T10:55:26.7321480+03:00,A10000000000000000000000,1,"-64,5","4,289,010,282,928,250"
2024-07-30T10:55:26.8734720+03:00,A10000000000000000000000,1,"-67,5","5,559,146,375,297,560"
2024-07-30T10:55:27.3186630+03:00,A10000000000000000000000,1,"-72,5","4,178,563,666,200,480"
2024-07-30T10:55:27.4448800+03:00,A10000000000000000000000,1,"-74,5","0,9541360500648688"
2024-07-30T10:55:25.8336110+03:00,A20000000000000000000000,1,"-67,5","33,011,266,555,298,900"
2024-07-30T10:55:25.9438630+03:00,A20000000000000000000000,1,-67,"4,270,602,513,473,620"
2024-07-30T10:55:26.0521820+03:00,A20000000000000000000000,1,-67,"0,06135923151542565"
2024-07-30T10:55:26.1678470+03:00,A20000000000000000000000,1,"-67,5","3,902,447,124,381,070"
2024-07-30T10:55:26.2814990+03:00,A20000000000000000000000,1,-64,"19,205,439,464,328,200"
2024-07-30T10:55:26.3962720+03:00,A20000000000000000000000,1,"-64,5","0,01227184630308513"
2024-07-30T10:55:26.5168460+03:00,A20000000000000000000000,1,-68,"23,071,071,049,800,000"
2024-07-30T10:55:26.6301210+03:00,A20000000000000000000000,1,-68,"5,755,495,916,146,920"
2024-07-30T10:55:26.8515080+03:00,A20000000000000000000000,1,-77,"0,20248546400090464"
2024-07-30T10:55:27.0945690+03:00,A20000000000000000000000,1,-70,"0,11658253987930872"
2024-07-30T10:55:25.9240310+03:00,A30000000000000000000000,1,"-68,5","62,463,697,682,703,300"
2024-07-30T10:55:25.9400250+03:00,A30000000000000000000000,1,"-68,5","0,07976700097005335"
2024-07-30T10:55:26.0571890+03:00,A30000000000000000000000,1,-67,"13,928,545,554,001,600"
2024-07-30T10:55:26.1800130+03:00,A30000000000000000000000,1,-69,"36,263,305,825,616,500"
2024-07-30T10:55:26.2880440+03:00,A30000000000000000000000,1,-72,"6,037,748,381,117,880"
2024-07-30T10:55:26.4031200+03:00,A30000000000000000000000,1,"-73,5","1,705,786,636,128,830"
2024-07-30T10:55:26.5193940+03:00,A30000000000000000000000,1,-72,"29,575,149,590,435,100"
2024-07-30T10:55:26.6257110+03:00,A30000000000000000000000,1,"-71,5","19,573,594,853,420,700"
2024-07-30T10:55:26.7339810+03:00,A30000000000000000000000,1,-69,"0,1902136176978195"
2024-07-30T10:55:26.9647360+03:00,A30000000000000000000000,1,-78,"0,4663301595172349"
2024-07-30T10:55:26.9889100+03:00,A30000000000000000000000,1,"-72,5","0,25770877236478773"
2024-07-30T10:55:27.0882980+03:00,A30000000000000000000000,1,"-71,5","6,019,340,611,663,250"
2024-07-30T10:55:27.2045270+03:00,A30000000000000000000000,1,"-71,5","6,086,835,766,330,220"
2024-07-30T10:55:27.3137110+03:00,A30000000000000000000000,1,"-73,5","60,991,076,126,333,000"
2024-07-30T10:55:27.4413900+03:00,A30000000000000000000000,1,"-74,5","0,1932815792735908"
2024-07-30T10:55:27.5646120+03:00,A30000000000000000000000,1,-75,"32,336,315,008,629,300"
2024-07-30T10:55:25.8346950+03:00,A40000000000000000000000,1,-66,"56,143,696,836,614,400"
2024-07-30T10:55:25.9491000+03:00,A40000000000000000000000,1,-67,"6,037,748,381,117,880"
2024-07-30T10:55:26.0497300+03:00,A40000000000000000000000,1,"-67,5","62,463,697,682,703,300"
2024-07-30T10:55:26.1789660+03:00,A40000000000000000000000,1,"-68,5","0,2761165418194154"
2024-07-30T10:55:26.2780170+03:00,A40000000000000000000000,1,-69,"0,8344855486097889"
2024-07-30T10:55:26.3981160+03:00,A40000000000000000000000,1,-70,"14,051,264,017,032,400"
2024-07-30T10:55:26.5183370+03:00,A40000000000000000000000,1,"-68,5","14,480,778,637,640,400"
2024-07-30T10:55:26.6342460+03:00,A40000000000000000000000,1,"-72,5","0,9081166264282996"
2024-07-30T10:55:26.7409390+03:00,A40000000000000000000000,1,-70,"0,2086213871524472"
2024-07-30T10:55:26.8745740+03:00,A40000000000000000000000,1,"-70,5","52,339,424,482,658,000"
2024-07-30T10:55:25.9480160+03:00,A50000000000000000000000,1,"-67,5","3,663,146,121,470,910"
2024-07-30T10:55:26.0540050+03:00,A50000000000000000000000,1,"-67,5","34,177,091,954,092,000"
