TimeValue,EPC,RSSI,PhaseAngle
0.606,1,0.9807692307692307,
0.886,1,0.9230769230769231,
1.047,1,1.0,5.458681457555277
1.095,1,0.9102564102564102,6.035790262307036
1.193,1,0.8397435897435898,6.588806096943756
1.289,1,0.8333333333333334,7.26412979144924
1.389,1,0.7884615384615384,8.088194722777638
1.486,1,0.7564102564102564,8.762201724202493
1.582,1,0.7435897435897436,8.937667573150462
1.68,1,0.7435897435897436,8.63876415552255
0.0,2,1.0,
0.095,2,0.9855072463768116,
0.194,2,0.9855072463768116,1.0669369462062832
0.291,2,0.9637681159420289,1.4253742079338905
0.386,2,0.9710144927536232,2.1789839345655566
0.483,2,0.9565217391304348,3.2543992742092365
0.581,2,0.9855072463768116,4.315284657146914
0.689,2,0.9782608695652174,5.117063287706439
0.791,2,0.9637681159420289,5.859039719892576
0.887,2,0.9855072463768116,7.026670232187876
0.985,2,0.9565217391304348,8.775130175784911
1.093,2,0.927536231884058,10.76244358984444
1.195,2,0.9420289855072463,12.503540027373523
1.292,2,0.927536231884058,13.73679231058986
1.386,2,0.927536231884058,14.39122121618189
1.488,2,0.9565217391304348,14.461074886474998
1.585,2,0.9565217391304348,14.012585273035574
1.683,2,0.9565217391304348,13.285104845641689
